"search_keyword","commerce_search_count","integrated_search_count","order_usage_rate","ad_intype_rate","organic_rate","c","uc","r","ctr","cvr","search_fail_20_rate","search_fail_100_rate","filter_usage_rate","related_search_rate","date"
"샤워기거치대","41","18","93.10344827586206","0.0","100.0","273","57","1534","93.54838709677419","0.0","24.137931034482758","12.068965517241379","6.451612903225806","0.0","2022-03-06"
"현관센서등","22","10","81.25","0.0","100.0","146","18","2760","90.9090909090909","0.0","53.333333333333336","33.333333333333336","13.043478260869565","0.0","2022-03-06"
"포르트","2","0","100.0","0.0","100.0","21","3","14735","75.0","0.0","66.66666666666667","33.333333333333336","25.0","0.0","2022-03-06"
"쌀통","273","131","88.33333333333333","0.0","100.0","2192","456","177","80.71570576540755","0.0","40.09324009324009","29.13752913752914","1.5779092702169626","4.563492063492063","2022-03-06"
"2인소파","145","23","97.0","0.0","100.0","1250","190","337","84.61538461538461","0.0","42.63157894736842","24.210526315789473","12.380952380952381","6.698564593301436","2022-03-06"
"책상","2181","1135","85.49488054607508","0.0","100.0","29144","4911","3","80.92201166180757","0.0","52.1130049031053","38.50105066542143","7.432675044883303","5.081081081081081","2022-03-06"
"발받침","41","15","100.0","0.0","100.0","263","82","1584","75.5813953488372","0.0","52.325581395348834","43.02325581395349","5.747126436781609","8.045977011494253","2022-03-06"
"원형테이블보","6","3","83.33333333333333","0.0","100.0","59","12","6069","75.0","0.0","63.63636363636363","36.36363636363637","8.333333333333334","8.333333333333334","2022-03-06"
"모노라운드","5","3","80.0","0.0","100.0","15","7","19993","62.5","0.0","42.857142857142854","42.857142857142854","12.5","0.0","2022-03-06"
"메모리폼토퍼","23","9","85.71428571428571","0.0","100.0","128","21","3115","90.9090909090909","0.0","5.555555555555555","5.555555555555555","9.090909090909092","0.0","2022-03-06"
"커트러리","134","75","93.85964912280701","0.0","100.0","1567","310","263","80.18575851393189","0.0","49.63768115942029","36.95652173913044","3.323262839879154","5.438066465256798","2022-03-06"
"행잉플랜트","39","32","81.81818181818181","0.0","100.0","547","111","773","87.5","0.0","41.55844155844156","25.974025974025974","1.6260162601626016","2.479338842975207","2022-03-06"
"캠프밸리","6","14","51.282051282051285","0.0","100.0","122","38","3248","95.1219512195122","0.0","21.05263157894737","15.789473684210526","2.4390243902439024","2.4390243902439024","2022-03-06"
"레인지대","7","8","100.0","0.0","100.0","70","20","5227","80.0","0.0","41.666666666666664","33.333333333333336","10.0","5.0","2022-03-06"
"대형포스터","5","2","85.71428571428571","0.0","100.0","90","25","4202","72.0","0.0","59.09090909090909","45.45454545454545","4.0","12.0","2022-03-06"
"모달이불","60","28","89.58333333333333","0.0","100.0","569","93","750","85.71428571428571","0.0","36.734693877551024","25.510204081632654","5.660377358490566","4.716981132075472","2022-03-06"
"디스펜서","71","18","93.93939393939394","0.0","100.0","681","164","623","70.0","0.0","62.33766233766234","44.8051948051948","1.7341040462427746","2.8901734104046244","2022-03-06"
"가리개커튼","347","184","92.4342105263158","0.0","100.0","3726","538","98","83.88157894736842","0.0","48.8235294117647","29.215686274509803","3.4035656401944894","5.065359477124183","2022-03-06"
"창문닦이","10","12","71.42857142857143","0.0","100.0","108","33","3617","83.78378378378379","0.0","21.428571428571427","21.428571428571427","2.7027027027027026","0.0","2022-03-06"
"마켓비","145","63","90.57971014492753","0.0","100.0","1352","432","313","71.64835164835165","0.0","67.63157894736842","54.21052631578947","1.5217391304347827","7.625272331154684","2022-03-06"
"양념통","378","149","90.49079754601227","0.0","100.0","3827","680","92","82.12824010914052","0.0","41.548183254344394","28.12006319115324","2.165087956698241","4.471544715447155","2022-03-06"
"베게커버","38","20","91.17647058823529","0.0","100.0","427","82","994","87.64044943820225","0.0","40.74074074074074","27.160493827160494","6.593406593406593","4.395604395604396","2022-03-06"
"Q침구세트","5","2","100.0","0.0","100.0","41","1","8217","100.0","0.0","0.0","0.0","100.0","0.0","2022-03-06"
"마레앤코","19","7","79.48717948717949","0.0","100.0","87","24","4346","53.57142857142857","0.0","60.869565217391305","52.17391304347826","46.42857142857143","0.0","2022-03-06"
"서랍장1200","45","33","76.92307692307692","0.0","100.0","288","56","1455","81.66666666666667","0.0","57.5","40.0","5.0","1.6666666666666667","2022-03-06"
"액세서리보관함","8","1","100.0","0.0","100.0","29","5","11055","83.33333333333333","0.0","33.333333333333336","16.666666666666668","16.666666666666668","0.0","2022-03-06"
"스위퍼더스터","2","1","100.0","0.0","100.0","6","2","45964","100.0","0.0","0.0","0.0","50.0","0.0","2022-03-06"
"블루투스키보드","67","22","97.95918367346938","0.0","100.0","219","50","1895","73.6842105263158","0.0","30.90909090909091","29.09090909090909","3.508771929824561","1.7543859649122806","2022-03-06"
"콘솔","334","160","90.69767441860465","0.0","100.0","3412","607","105","81.63884673748103","0.0","55.635062611806795","37.0304114490161","3.44311377245509","5.555555555555555","2022-03-06"
"멀티탭정리함","91","60","84.26966292134831","0.0","100.0","1299","234","321","89.88326848249027","0.0","26.5625","18.75","3.053435114503817","3.4615384615384617","2022-03-06"
"강아지쿠션","26","6","100.0","0.0","100.0","227","38","1834","85.0","0.0","38.46153846153846","28.205128205128204","2.5","5.0","2022-03-06"
"이불보관","17","11","90.9090909090909","0.0","100.0","218","52","1907","74.07407407407408","0.0","33.333333333333336","31.11111111111111","1.8518518518518519","1.8518518518518519","2022-03-06"
"한샘주방","30","8","77.7292576419214","0.0","100.0","267","59","1561","67.21311475409836","0.0","68.62745098039215","54.90196078431372","29.508196721311474","4.918032786885246","2022-03-06"
"히츠키코보","23","5","79.9410029498525","0.0","100.0","249","61","1675","77.41935483870968","0.0","60.714285714285715","41.07142857142857","14.285714285714286","3.1746031746031744","2022-03-06"
"캡슐보관함","57","41","84.84848484848484","0.0","100.0","833","154","509","85.45454545454545","0.0","41.791044776119406","31.34328358208955","1.8072289156626506","3.6144578313253013","2022-03-06"
"레일액자","8","2","100.0","0.0","100.0","42","13","8057","78.57142857142857","0.0","40.0","40.0","7.142857142857143","0.0","2022-03-06"
"로포텐","45","14","96.96969696969697","0.0","100.0","304","57","1379","85.0","0.0","64.28571428571429","39.285714285714285","1.639344262295082","6.557377049180328","2022-03-06"
"믹서기","171","86","85.61151079136691","0.0","100.0","1505","296","277","80.69620253164557","0.0","37.6865671641791","32.08955223880597","4.037267080745342","0.9375","2022-03-06"
