"search_keyword","qc","cc","ctr","uqc","ucc","uctr"
"욕실 바닥","133","91","146.15384615384616","35","29","120.6896551724138"
"목재재단","45","28","160.71428571428572","13","13","100.0"
"현관문 필름시공","22","12","183.33333333333334","1","1","100.0"
"한샘 도노 6인","11","7","157.14285714285714","1","1","100.0"
"베란다우수관","16","12","133.33333333333334","6","4","150.0"
"훈탄","11","7","157.14285714285714","5","4","125.0"
"1600책상","381","296","128.71621621621622","62","54","114.81481481481481"
"부착식식기","28","21","133.33333333333334","5","5","100.0"
"라탄쇼파","128","77","166.23376623376623","36","21","171.42857142857142"
"디어트리","28","15","186.66666666666666","8","7","114.28571428571429"
"킹메트리스","25","16","156.25","7","4","175.0"
"냉장고 꾸미기","91","74","122.97297297297297","26","18","144.44444444444446"
"화장솜보관함","20","19","105.26315789473684","8","8","100.0"
"포인트몰딩","21","5","420.0","4","2","200.0"
"사케병","15","4","375.0","7","2","350.0"
"트레이 옷정리","11","10","110.0","1","1","100.0"
"레트로 잔","16","6","266.6666666666667","5","3","166.66666666666666"
"원형테이블1000","350","255","137.2549019607843","86","66","130.3030303030303"
"유리문","116","59","196.61016949152543","42","27","155.55555555555554"
"욕실 젠다이","13","7","185.71428571428572","6","4","150.0"
"취미","361","360","100.27777777777777","104","73","142.46575342465752"
"필웰광파","15","9","166.66666666666666","4","2","200.0"
"태슬","48","40","120.0","14","10","140.0"
"비스포크 키친핏 식기세척기","13","13","100.0","2","2","100.0"
"얇은 수납장","113","102","110.7843137254902","49","38","128.94736842105263"
"셀프방충망","11","3","366.6666666666667","2","1","200.0"
"손세정제","528","318","166.03773584905662","187","126","148.4126984126984"
"아쿠아유리","19","10","190.0","9","6","150.0"
"코렐 저스트화이트","79","56","141.07142857142858","25","20","125.0"
"미카엘와이드체스트","10","6","166.66666666666666","4","3","133.33333333333334"
"클린업","47","33","142.42424242424244","15","14","107.14285714285714"
"쇼파3인용카페트","13","2","650.0","1","1","100.0"
"정사각테이블","81","42","192.85714285714286","22","15","146.66666666666666"
"베드 스커트 ","16","12","133.33333333333334","4","4","100.0"
"대나무깔판","13","5","260.0","4","2","200.0"
"창문형커텐","172","149","115.43624161073825","15","14","107.14285714285714"
"중정주택","31","26","119.23076923076923","4","3","133.33333333333334"
"체크 커텐","31","25","124.0","8","7","114.28571428571429"
"리앤룸","210","160","131.25","49","44","111.36363636363636"
"수평패드","10","6","166.66666666666666","4","3","133.33333333333334"
"미니건조기 5kg","12","10","120.0","2","2","100.0"
"전기 포트","115","85","135.2941176470588","24","20","120.0"
"컴퓨터본체","305","214","142.52336448598132","103","72","143.05555555555554"
"벽거울 500","11","9","122.22222222222223","2","1","200.0"
"수납박스","8591","6234","137.80879050368944","1883","1524","123.55643044619423"
"1인용좌식소파","46","28","164.28571428571428","6","3","200.0"
"더플레이트","131","67","195.52238805970148","45","31","145.16129032258064"
"접착 시트지","10","3","333.3333333333333","1","1","100.0"
"나무 숟가락","48","27","177.77777777777777","16","13","123.07692307692308"
"다이슨에어랩 거치대","34","22","154.54545454545453","9","8","112.5"
"유캐슬거실장","15","14","107.14285714285714","1","1","100.0"
"모던하우스 내열유리컵","10","9","111.11111111111111","2","2","100.0"
"거실무드등","58","64","90.625","18","12","150.0"
"주방물컵","15","28","53.57142857142857","1","1","100.0"
"철재진열장","10","9","111.11111111111111","3","2","150.0"
"쓰레기 봉투","27","14","192.85714285714286","8","5","160.0"
"구축수도공사비용","13","12","108.33333333333333","1","1","100.0"
"본생리대","10","8","125.0","2","2","100.0"
"수영복","12","6","200.0","7","2","350.0"
"영국그릇","22","5","440.0","3","3","100.0"
"다즐 다리미판","10","15","66.66666666666667","1","1","100.0"
"바지걸리","36","9","400.0","22","6","366.6666666666667"
"이다네스","24","9","266.6666666666667","6","5","120.0"
"이래카야자 조화","12","7","171.42857142857142","1","1","100.0"
"기능성베개","25","11","227.27272727272728","7","4","175.0"
"하얀 커튼","12","9","133.33333333333334","3","2","150.0"
"사계절이불커버","31","21","147.61904761904762","4","4","100.0"
"감성이불","37","47","78.72340425531915","14","7","200.0"
"아이서랍","13","9","144.44444444444446","2","2","100.0"
"빨리건조대","23","9","255.55555555555554","8","5","160.0"
"도시락 수저 세트","15","2","750.0","1","1","100.0"
"패드더블침대","14","13","107.6923076923077","1","1","100.0"
"생일 현수막","20","16","125.0","4","4","100.0"
