"search_keyword","qc","card_cc","avg_object_idx","click_ranking","object_idx_list","object_id_list"
"캣","14.0","3.0","3.33","{0=1, 4=1, 6=1}","[6, 4, 0]","[10527758, 13214211, 14261807]"
"미니의자","77.0","3.0","3.67","{2=1, 3=1, 6=1}","[3, 2, 6]","[13067119, 13009031, 12703752]"
"사진 걸이","19.0","3.0","2.67","{0=1, 1=1, 7=1}","[0, 1, 7]","[684328, 9449109, 4935602]"
"퍼니처랩","21.0","1.0","3.0","{3=1}","[3]","[9240]"
"비프록","33.0","1.0","0.0","{0=1}","[0]","[14460263]"
"원목렌지대","16.0","2.0","6.5","{5=1, 8=1}","[5, 8]","[11621800, 11621798]"
"2인용 책상","25.0","10.0","2.1","{0=3, 1=1, 2=2, 3=2, 4=1, 6=1}","[1, 4, 0, 6, 2, 0, 2, 3, 3, 0]","[14274789, 11438807, 58392, 4870618, 5455510, 58392, 24622, 24622, 24622, 58392]"
"파크론","81.0","2.0","4.5","{4=1, 5=1}","[4, 5]","[13299406, 13299406]"
"봄이불세트","18.0","2.0","0.5","{0=1, 1=1}","[0, 1]","[9343107, 14993313]"
"티코스터","191.0","26.0","2.42","{0=6, 1=8, 2=2, 3=1, 4=4, 5=1, 6=2, 7=1, 8=1}","[1, 5, 0, 4, 0, 3, 1, 0, 4, 1, 1, 7, 1, 6, 0, 1, 0, 4, 2, 1, 4, 8, 6, 1, 2, 0]","[11215430, 13952509, 14633021, 14838309, 14633021, 12124170, 11215430, 5213569, 14838309, 11215430, 11215430, 15303180, 11215430, 5291031, 14633021, 11215430, 5213569, 14838309, 5934611, 11215430, 14838309, 9161256, 5291031, 11215430, 5934611, 5213569]"
"칼갈이","73.0","3.0","2.67","{0=2, 8=1}","[0, 0, 8]","[8018142, 8018142, 1619120]"
"미니멀","345.0","46.0","3.89","{0=7, 1=6, 2=4, 3=4, 4=5, 5=4, 6=2, 7=11, 8=3}","[8, 5, 8, 4, 4, 7, 7, 0, 7, 3, 5, 0, 3, 7, 2, 0, 3, 4, 2, 7, 6, 2, 3, 5, 0, 7, 1, 7, 7, 8, 1, 1, 5, 0, 0, 2, 6, 4, 7, 7, 1, 0, 7, 4, 1, 1]","[12346299, 14907156, 12346299, 10641607, 10641607, 15012868, 15012868, 14885158, 8775478, 10230052, 14907156, 14885158, 10230052, 8775478, 10640566, 14885158, 10230052, 10641607, 10640566, 8775478, 15012868, 10640566, 10230052, 14907156, 14885158, 15012868, 15018771, 12346299, 15012868, 12346299, 15018771, 15018771, 14907156, 14885158, 14885158, 10640566, 8775478, 10641607, 12346299, 8775478, 15018771, 14885158, 15012868, 10641607, 15018771, 15018771]"
"베란다화단","21.0","10.0","2.1","{0=3, 1=2, 2=3, 5=1, 8=1}","[0, 2, 0, 8, 2, 0, 1, 1, 5, 2]","[8710805, 6628105, 8710805, 4420860, 6628105, 8710805, 11213464, 11213464, 9568, 6628105]"
"화장실청소","326.0","24.0","3.25","{0=5, 1=7, 2=2, 3=1, 4=1, 7=4, 8=4}","[0, 7, 1, 8, 7, 7, 1, 1, 1, 0, 1, 2, 0, 1, 3, 0, 8, 8, 7, 0, 1, 2, 4, 8]","[4706147, 12040822, 15236327, 11435633, 13373109, 11435633, 15236327, 15236327, 15236327, 4706147, 14493113, 14493113, 4706147, 15236327, 5019683, 4706147, 12653713, 11435633, 11435633, 4706147, 14493113, 14493113, 3108744, 11435633]"
"사각후라이팬","68.0","5.0","1.2","{0=3, 3=2}","[0, 0, 3, 3, 0]","[14292389, 14292389, 5563894, 5563894, 14292389]"
"블루카페트","13.0","2.0","5.0","{3=1, 7=1}","[7, 3]","[14401475, 12774832]"
"베란다가림막","22.0","12.0","2.58","{0=3, 1=3, 2=1, 3=2, 5=1, 7=1, 8=1}","[1, 3, 0, 2, 7, 5, 8, 0, 1, 3, 0, 1]","[10716232, 9178505, 13918920, 10716232, 9749653, 9178506, 10655249, 13918920, 13272665, 9178505, 13918920, 13272665]"
"와인잔거치대","42.0","20.0","3.25","{0=5, 1=1, 2=4, 3=2, 4=2, 5=1, 7=3, 8=2}","[2, 5, 1, 3, 0, 8, 7, 0, 0, 4, 8, 7, 2, 7, 0, 2, 0, 2, 3, 4]","[13375792, 7348966, 10635704, 14229483, 3647668, 11556872, 8900461, 3647668, 3647668, 13375792, 11556872, 8900461, 14715315, 8900461, 3647668, 14715315, 3647668, 14715315, 14229483, 13375792]"
"밥그릇세트","37.0","6.0","2.33","{0=3, 2=1, 4=1, 8=1}","[8, 0, 4, 0, 0, 2]","[4640520, 14087608, 4640520, 14087608, 14087608, 9758000]"
"시노기","13.0","4.0","2.0","{0=2, 3=1, 5=1}","[0, 5, 3, 0]","[14281603, 10391513, 10333899, 14281603]"
"방바닥","16.0","1.0","7.0","{7=1}","[7]","[14041736]"
"발뮤다 토스터기","10.0","1.0","7.0","{7=1}","[7]","[13967461]"
