search_keyword,qc,cc,ctr
옷걸이스탠드,108,49,45.37037037037040
행거 가리개,21,14,66.66666666666670
#벽꾸미기,40,28,70.0
벽커튼,10,7,70.0
도자기수저통,10,4,40.0
라탄트레이,10,5,50.0
벽거울,136,53,38.97058823529410
이불수납,16,7,43.75
나무의자,16,4,25.0
김석빈도자기,13,7,53.84615384615390
매트리스 커버,80,31,38.75
블랙소파,16,5,31.25
미니 식기건조대,10,2,20.0
창가테이블,30,18,60.0
네스프레소캡슐,14,7,50.0
수납정리함,40,16,40.0
센서휴지통,16,8,50.0
오래된원룸,16,15,93.75
원형테이블600,10,9,90.0
고양이방,17,12,70.58823529411770
컴퓨터의자,146,71,48.63013698630140
포인트벽,17,13,76.47058823529410
키친타올걸이,123,50,40.65040650406500
꼭꼬핀 선반,20,16,80.0
에탄올난로,11,3,27.272727272727300
중문 커튼,14,9,64.28571428571430
렌지장,45,25,55.55555555555560
무타공,20,7,35.0
주방그릇장,10,6,60.0
미니멀라이프,62,41,66.12903225806450
욕실청소도구,19,10,52.63157894736840
베란다정원,55,46,83.63636363636360
오븐장갑,15,8,53.333333333333300
실내슬리퍼,88,21,23.863636363636400
고기불판,21,12,57.142857142857100
6평 오피스텔,24,20,83.33333333333330
거울화장대,45,24,53.333333333333300
욕실젠다이,16,10,62.5
젠스타일,10,6,60.0
오로라조명,10,6,60.0
거실겸주방,31,18,58.064516129032300
코너책장,17,11,64.70588235294120
여아방,47,41,87.23404255319150
약정리,11,9,81.81818181818180
침대 프레임 퀸,21,11,52.38095238095240
아기텐트,12,8,66.66666666666670
안방폴딩도어,12,10,83.33333333333330
3인용가죽쇼파,11,7,63.63636363636360
2yujin22,21,20,95.23809523809520
밥그릇,30,12,40.0
잭슨카멜레온,58,41,70.6896551724138
담요,152,55,36.18421052631580
홈카페존,22,20,90.9090909090909
대방석,38,25,65.78947368421050
무인양품 sus,12,9,75.0
침실스탠드,21,18,85.71428571428570
반달러그,15,6,40.0
마켓비 책상,15,7,46.66666666666670
자뎅맘,28,13,46.42857142857140
3단책장,31,21,67.74193548387100
안방베란다 인테리어,36,16,44.44444444444440
청소도구함,11,5,45.45454545454550
선반책상,19,7,36.8421052631579
가방장,24,16,66.66666666666670
치솔꽂이,11,1,9.090909090909090
주방 수납장,48,32,66.66666666666670
명화그리기,22,7,31.818181818181800
발뮤다토스터기,34,25,73.52941176470590
철재선반,32,16,50.0
벽걸이티비,50,39,78.0
원목식탁,137,106,77.37226277372260
셀프인테리어,39,19,48.71794871794870
압축봉커튼,19,8,42.10526315789470
다이닝쇼파,14,11,78.57142857142860
앵글선반,38,21,55.26315789473680
거실벽시계,17,10,58.8235294117647
트롤리선반,14,6,42.85714285714290
주방세제통,35,19,54.285714285714300
레이스커튼,85,41,48.23529411764710
줄조명,21,4,19.047619047619000
테이블세트,20,6,30.0
그릇세트,163,77,47.23926380368100
까사미아쇼파,16,5,31.25
욕실선반,277,121,43.68231046931410
욕실 슬리퍼,10,3,30.0
윈도우벤치,10,5,50.0
양면시계,13,7,53.84615384615390
리바트책장,19,9,47.36842105263160
원목 수납장,25,16,64.0
낮은거실장,10,4,40.0
게이밍의자,104,35,33.65384615384620
행복주택44형,30,21,70.0
주방쓰레기통,13,4,30.76923076923080
서재거실,19,18,94.73684210526320
다이슨공기청정기,10,9,90.0
에몬스침대,16,9,56.25
포토존,140,95,67.85714285714290
사이드수납장,10,4,40.0
유기그릇,15,7,46.66666666666670
수납형벤치,12,5,41.66666666666670
노트북 받침대,31,14,45.16129032258070
투명정리함,17,7,41.1764705882353
거실천정,18,10,55.55555555555560
샴푸걸이,10,7,70.0
노먼벽시계,12,8,66.66666666666670
암막 커튼,26,12,46.15384615384620
샵바오밥,21,9,42.85714285714290
시디즈의자,36,11,30.55555555555560
필립스 휴,11,5,45.45454545454550
매트리스깔판,75,34,45.333333333333300
물티슈케이스,57,27,47.36842105263160
두꺼비집액자,10,3,30.0
캠핑박스,16,5,31.25
한샘옷장,30,13,43.333333333333300
화분커버,29,17,58.62068965517240
6평원룸,10,9,90.0
주방선반장,18,10,55.55555555555560
개나리벽지,15,13,86.66666666666670
원형탁자,14,9,64.28571428571430
약통정리,11,5,45.45454545454550
북타워,65,40,61.53846153846150
네트망 파티션,12,11,91.66666666666670
붙박이장인테리어,12,8,66.66666666666670
케이크스탠드,11,8,72.72727272727270
대형식물,10,8,80.0
스킵플로어,10,4,40.0
〈미혼영상유출사고〉 WWW FC2 FUN  수성댁엔조이 수성댁영상❦수성댁영상물ⁿ수성댁영화ⓡぢ䎬womanish,10,0,0.0
주방수납장,481,240,49.896049896049900
소파패드,113,39,34.51327433628320
블랙 인테리어,53,45,84.90566037735850
리퍼침대,16,7,43.75
화장실수납,36,20,55.55555555555560
방문시트지,14,10,71.42857142857140
템바보드침대,25,19,76.0
3단매트리스,10,1,10.0
싱크대선반,61,23,37.704918032786900
발판매트,14,7,50.0
패브릭 가리개,51,16,31.37254901960780
접이식 식탁,34,7,20.58823529411770
24평인테리어,15,10,66.66666666666670
아이방조명,27,18,66.66666666666670
미니 서랍장,12,3,25.0
브라운시계,12,8,66.66666666666670
대형쿠션,12,2,16.666666666666700
엽서 포스터,11,7,63.63636363636360
400수납장,12,7,58.333333333333300
냅킨홀더,11,2,18.181818181818200
우물천장,45,33,73.33333333333330
서랍정리,34,15,44.11764705882350
이케아팍스,12,11,91.66666666666670
편백나무침대,11,6,54.54545454545460
조적벽,15,6,40.0
콘솔화장대,19,11,57.89473684210530
요거트볼,57,29,50.87719298245610
페브릭쇼파,15,4,26.666666666666700
화장실 수납,30,19,63.333333333333300
인디언텐트,21,16,76.19047619047620
모니터리폼,11,9,81.81818181818180
원형책상,13,6,46.15384615384620
수납화장대,27,10,37.03703703703700
침대옆협탁,17,2,11.764705882352900
시디즈t50,16,4,25.0
베란다장,13,11,84.61538461538460
일자주방,55,48,87.27272727272730
작업실인테리어,11,6,54.54545454545460
커튼행거,26,11,42.30769230769230
악세사리함,11,6,54.54545454545460
발뮤다선반,11,8,72.72727272727270
핑크이불,15,13,86.66666666666670
정수기선반,15,7,46.66666666666670
유럽미장,17,11,64.70588235294120
네이비인테리어,15,11,73.33333333333330
메모보드,16,6,37.5
수납침대,328,172,52.4390243902439
주방 파티션,16,14,87.5
3단서랍장1200,11,7,63.63636363636360
그릇장식장,22,16,72.72727272727270
사다리선반,45,27,60.0
1.5평,35,29,82.85714285714290
