"search_keyword","cqc","iqc","avg_object_idx","rank_to_clickcnt","object_idx_list","object_id_list"
"모자걸이","232.0","129.0","3.4954128440366974","{0=19, 1=26, 2=9, 3=3, 4=1, 5=11, 6=15, 7=21, 8=4}","[2, 2, 7, 3, 0, 1, 1, 1, 0, 2, 1, 1, 8, 7, 7, 1, 1, 5, 5, 1, 1, 5, 1, 0, 1, 7, 1, 6, 7, 7, 0, 6, 7, 2, 0, 7, 3, 1, 6, 5, 7, 2, 6, 7, 0, 3, 8, 5, 7, 8, 7, 6, 1, 1, 1, 6, 0, 6, 0, 0, 6, 7, 7, 7, 7, 1, 5, 0, 7, 0, 6, 2, 6, 0, 5, 4, 6, 7, 2, 1, 7, 5, 8, 0, 1, 1, 5, 7, 1, 0, 6, 5, 0, 0, 7, 0, 1, 6, 1, 2, 1, 6, 0, 0, 5, 6, 2, 1, 1]","[12802663, 12802663, 10549381, 10549381, 9562863, 8966045, 8966045, 8966045, 18300, 12802663, 8966045, 8966045, 12599241, 10549381, 10549381, 8966045, 8966045, 3258074, 74582, 8966045, 8966045, 3258074, 8966045, 18300, 8966045, 10549381, 8966045, 74582, 10549381, 10549381, 18300, 74582, 10549381, 12802663, 18300, 10549381, 10549381, 8966045, 74582, 3258074, 10549381, 12802663, 74582, 10549381, 18300, 7493487, 12599241, 3258074, 10549381, 12599241, 10549381, 74582, 8966045, 8966045, 8966045, 74582, 9562863, 74582, 9562863, 9562863, 74582, 10549381, 10549381, 10549381, 10549381, 8966045, 74582, 18300, 10549381, 9562863, 74582, 12802663, 74582, 9562863, 3258074, 6164399, 74582, 10549381, 12802663, 8966045, 10549381, 3258074, 12599241, 18300, 8966045, 8966045, 74582, 10549381, 8966045, 9562863, 74582, 3258074, 18300, 9562863, 10549381, 9562863, 8966045, 74582, 8966045, 12802663, 8966045, 74582, 18300, 18300, 3258074, 74582, 12802663, 8966045, 8966045]"
"드럼세탁기","88.0","58.0","3.75","{0=3, 2=5, 5=3, 6=2, 7=1, 8=2}","[7, 2, 8, 6, 8, 2, 5, 0, 2, 0, 5, 6, 2, 2, 0, 5]","[11787923, 10478822, 11167429, 15057380, 10858068, 10478822, 9725676, 11849028, 10478822, 11849028, 9725676, 15057380, 10478822, 10478822, 11849028, 9725676]"
"카우치소파","20.0","16.0","2.857142857142857","{0=4, 2=3, 3=2, 4=1, 5=2, 6=1, 8=1}","[0, 2, 8, 0, 3, 5, 2, 0, 4, 0, 5, 6, 2, 3]","[14662956, 9445579, 10136865, 10459068, 6525011, 9445582, 7184447, 14662956, 10373776, 10459068, 11935071, 11239522, 7184447, 6525011]"
"멀티포트","14.0","3.0","0.0","{0=1}","[0]","[7137184]"
"원목협탁","254.0","85.0","2.6","{0=6, 1=5, 2=5, 3=1, 4=2, 5=1, 6=3, 8=2}","[1, 4, 2, 5, 1, 1, 2, 0, 1, 2, 0, 6, 0, 0, 0, 6, 3, 8, 8, 6, 1, 0, 2, 4, 2]","[5664162, 10339932, 1667085, 11021813, 11021798, 11021798, 5664162, 10577490, 5664162, 1667085, 10577491, 10285799, 10577490, 10577490, 10577490, 11021798, 1667085, 11021798, 10581729, 10285799, 5664162, 10577491, 1667085, 10285799, 1667085]"
"싱크대시트지","47.0","38.0","2.3157894736842106","{0=10, 1=6, 2=6, 3=6, 4=4, 5=1, 6=4, 7=1}","[2, 2, 6, 5, 0, 3, 4, 4, 3, 0, 7, 1, 2, 1, 0, 3, 2, 1, 0, 0, 1, 2, 0, 1, 0, 6, 3, 0, 3, 1, 0, 6, 6, 0, 3, 4, 2, 4]","[14379191, 14379191, 14614126, 14614126, 12321469, 3045358, 12026757, 12026757, 14379191, 12321469, 13206666, 3045359, 14379191, 3045359, 12321469, 8724036, 14379191, 3045359, 12321469, 12321469, 3045359, 14379191, 12321469, 3045359, 12321469, 14529747, 14379191, 12321469, 14379191, 3045359, 12321469, 9198643, 9198643, 12321469, 14379191, 8724036, 14379191, 8724036]"
"실내슬리퍼","482.0","284.0","3.25","{0=5, 1=6, 2=6, 3=4, 4=5, 5=2, 6=3, 7=1, 8=4}","[0, 4, 2, 5, 0, 2, 2, 3, 5, 3, 0, 1, 8, 3, 1, 2, 4, 0, 1, 6, 2, 1, 8, 3, 1, 8, 4, 0, 6, 2, 4, 8, 4, 7, 6, 1]","[13076399, 5599136, 14173993, 14613657, 13076399, 5599136, 14328128, 10704324, 13755555, 10704324, 13076399, 14173993, 8158769, 13755555, 14173993, 5599136, 13755555, 13076399, 14173993, 12732315, 14328128, 14173993, 10532317, 13755555, 14173993, 8158769, 13755555, 5599136, 10532317, 14328128, 5599136, 13076398, 13755555, 13076398, 10532317, 14173993]"
"전선정리","335.0","149.0","2.28","{0=11, 1=13, 2=11, 3=3, 4=1, 5=6, 6=1, 7=2, 8=2}","[7, 0, 0, 7, 2, 1, 1, 2, 5, 2, 2, 1, 5, 2, 0, 1, 5, 5, 1, 6, 8, 2, 2, 2, 0, 5, 1, 4, 5, 1, 1, 0, 8, 1, 0, 1, 2, 2, 3, 3, 1, 1, 0, 0, 2, 3, 1, 0, 0, 0]","[15116628, 13448831, 12029936, 15116628, 13448831, 12846371, 12029936, 12029936, 11893229, 15166646, 11893229, 15166646, 11893229, 12917715, 12029936, 12846371, 11893229, 11893229, 12846371, 12578024, 11916122, 15166646, 13448831, 15166646, 13448831, 11893229, 12846371, 11893229, 11893229, 12029936, 15166646, 13448831, 11916122, 15166646, 12029936, 12029936, 15166646, 13448831, 12917715, 12029936, 15166646, 12846371, 13448831, 13448831, 12917715, 12029936, 12846371, 15166646, 13448831, 15166646]"
"화장대정리함","22.0","17.0","2.3095238095238093","{0=11, 1=10, 2=5, 3=2, 4=3, 5=8, 6=2, 7=1}","[0, 0, 4, 4, 1, 1, 5, 1, 2, 2, 6, 0, 2, 5, 5, 0, 5, 5, 3, 0, 1, 1, 5, 0, 1, 5, 1, 4, 2, 1, 6, 7, 0, 2, 0, 1, 0, 1, 0, 5, 3, 0]","[12952262, 12797311, 14820003, 14820003, 8870493, 8870493, 11917207, 3716464, 12351224, 14820003, 8542430, 12797311, 12351224, 12797311, 14820003, 12351224, 11917207, 11917207, 12797311, 12952262, 8870493, 3716464, 14820003, 12952262, 8870493, 13479611, 8870493, 13479611, 3716464, 3716464, 11917207, 11552671, 12952262, 3716464, 12797311, 3716464, 12797311, 3716464, 12351224, 12797311, 12797311, 12797311]"
"콘센트커버","61.0","11.0","3.1538461538461537","{0=2, 1=3, 2=1, 3=2, 4=1, 5=1, 6=1, 7=1, 8=1}","[3, 5, 1, 7, 4, 1, 8, 6, 2, 1, 3, 0, 0]","[8744886, 9859192, 11937278, 4874168, 9196627, 11937278, 4874168, 7928876, 13874374, 11937278, 8744886, 12120104, 12120104]"
