"id","production_id","user_id","star_durability","star_design","star_cost","star_delivery","comment","created_at","updated_at","option","on_hide","order_option_id","card_id","avg_star","memo","admin_check","praise_count","is_photo_hidden","has_reply","reply_writer","reply_content","reply_at"
"17798220","1038914","5424919","5","5","5","5","무선으로된 전구 찾다가 발견햇는데
가성비 좋은것같아요!!만족!!?","2022-05-04 11:56:28.000","2022-05-04 11:56:28.000","흰색","false","221520605","17047845","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17793449","1038914","16562663","5","5","5","5","너무 좋아요ㅠㅠ 가격대비 최고에요ㅎㅎ","2022-05-04 00:27:47.000","2022-05-04 00:27:47.000","흰색","false","217962052","17041414","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17791559","1038914","7795611","5","5","5","5","디자인이 심플하고 가격도 적당해서 맘에 들어요","2022-05-03 22:50:13.000","2022-05-03 22:50:13.000","플라워팟 조명 (흰색)","false","175435858","17038992","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17784211","1038914","3153302","4","5","4","5","금액대비  만족합니다 
조립은  그냥그냥  힘들어요~~","2022-05-03 16:41:25.000","2022-05-03 16:41:25.000","노랑","false","221274703","17028405","4.5",,"true","0","false","false","오늘의집 집돌이",,
"17780701","1038914","15227249","3","3","3","3","작고 귀엽긴 한데, 리뷰처럼 조명이 그닥 밝진 않아요.^^; 전구 아니고 led여서 좋아요.","2022-05-03 12:48:33.000","2022-05-03 12:48:33.000","흰색","false","216885856","17023067","3.0",,"true","0","false","false","오늘의집 집돌이",,
"17311577","1038914","2232369","1","1","1","1","배송 두달 걸렸습니다 각오하시고 주문하세요","2022-04-07 14:47:48.000","2022-05-02 21:09:24.000","노랑","false","200180900","16267266","1.0",,"true","6","false","false","오늘의집 집돌이",,
"17304846","1038914","14780411","4","5","5","1","두달 걸려서 받았어요. 까먹으니까 오네요 ㅎㅎ 버튼 부분에 마감처리가 아쉬운데 긁어내니까 약간 떨어지긴 해요.. 교환 생각 사알짝 들다가 2달만에 받았는데 또..? 싶어서 그냥 씁니다 ㅎ 제품은 예뻐요.","2022-04-07 10:44:44.000","2022-05-02 18:52:56.000","노랑","false","200109411","16259239","3.75",,"true","3","false","false","오늘의집 집돌이",,
"17770445","1038914","6360046","5","5","5","5","색바뀌는 것도 너무 좋고 디자인도 너무 예뻐요","2022-05-02 16:52:36.000","2022-05-02 16:52:37.000","플라워팟 조명 (흰색)","false","183045808","17008465","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17768412","1038914","17773490","4","5","5","5","집뜰이 선물로 했는데 
너무 이쁘네요 
무선이라 활용도가 좋습니다 

가격대비 정말 괜찮아요 
배송도 빨라요 

쨍한 노란 이쁘네요 ","2022-05-02 14:18:20.000","2022-05-02 14:18:20.000","노랑","false","219642066","17005443","4.75",,"true","0","false","false","오늘의집 집돌이",,
"17764128","1038914","13366420","5","5","5","5","노랑색 너무 에뻐요
무선이라 더더 조아요
조은 제품 감사합니다~~","2022-05-02 10:11:26.000","2022-05-02 10:11:26.000","노랑","false","219514670","16999997","5.0",,"true","0","false","false","오늘의집 집돌이",,
