search_keyword,grade,mctr,docid,avgRank,stdevRank,impressions,clicks,uimpressions,uclicks,scrapCnt,qc,cc,uqc,ucc,f__description.bm25,f__keyword_list.korean.bm25,f__nickname.bm25,f__company.bm25,f__prod_name.bm25,f__prod_brand_name.bm25,f__prod_categories.bm25,f__decode_style.bm25,f__decode_area.bm25,f__decode_residence.bm25,f__reinforcement.bm25,f__click_keywords.bm25,f__desc.prod.keyword,f__description.proximity,f__keyword_list.korean.proximity,f__nickname.proximity,f__company.proximity,f__prod_name.proximity,f__prod_brand_name.proximity,f__prod_categories.proximity,f__decode_style.proximity,f__decode_area.proximity,f__decode_residence.proximity,f__reinforcement.proximity,f__click_keywords.proximity,f__reply_count,f__follower_count,f__praise_count,f__scrap_count,f__view_count,f__user_card_count,f__created_at,f__has_tag,f__is_project
체크이불,0,0.03333333333333333,16317990,139.6,4.5,5,0,4,0,0,104,64,30,19,0.0,0.38516873,0.0,0.0,0.17136085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5913454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.51749206,1.0,0.0
체크이불,0,0.05925925925925926,14504069,39.19,13.08,15,1,7,1,0,104,64,30,19,0.0,0.21666533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26034,0.6931472,0.0,2.1972246,4.26268,7.2232957,0.0,0.048349537,1.0,1.0
체크이불,0,0.034782608695652174,16444288,182.0,10.8,3,0,3,0,0,104,64,30,19,0.20296535,0.33775416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5913454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6390574,0.0,0.59589505,0.0,0.0
체크이불,0,0.03333333333333333,12117492,88.15,9.46,13,0,10,0,0,104,64,30,19,0.26613626,0.120010674,0.0,0.0,0.20629093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21011662,0.0,0.0,0.078437984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917595,2.0794415,5.9401712,0.0,0.0010626307,1.0,0.0
체크이불,0,0.03636363636363637,6059401,213.5,2.5,2,0,2,0,0,104,64,30,19,0.0,0.30202147,0.0,0.0,0.17136085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0910425,2.5649493,9.019906,0.0,1.7604444e-08,1.0,0.0
체크이불,0,0.03636363636363637,13018744,173.0,1.0,2,0,2,0,0,104,64,30,19,0.0,0.40270054,0.0,0.0,0.2745189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7050546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0058417004,1.0,0.0
체크이불,0,0.02564102564102564,6851876,8.69,1.28,35,0,19,0,0,104,64,30,19,0.4950331,0.38516873,0.0,0.0,0.2151548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807388,0.5913454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,0.0,3.912023,0.0,8.938491e-08,1.0,0.0
체크이불,0,0.02857142857142857,12791804,114.1,16.65,10,0,8,0,0,104,64,30,19,0.0,0.20039669,0.0,0.0,0.2262358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.6931472,2.0794415,6.669498,0.0,0.003936078,1.0,1.0
체크이불,0,0.03636363636363637,13822797,181.5,3.5,2,0,2,0,0,104,64,30,19,0.0,0.24070403,0.0,0.0,0.16126111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214285,0.0,0.0,0.06875008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7725887,5.247024,0.0,0.017961785,1.0,1.0
체크이불,0,0.03333333333333333,12790749,110.09,10.17,11,0,10,0,0,104,64,30,19,0.0,0.28869465,0.0,0.0,0.2070154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38798356,0.0,0.0,0.07555531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,1.0986123,4.6821313,0.0,0.0039295424,1.0,0.0
체크이불,0,0.03636363636363637,11898853,154.33,0.47,3,0,2,0,0,104,64,30,19,0.20399244,0.0,0.0,0.0,0.108502656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5553482,4.94876,8.619208,0.0,0.0006617355,1.0,0.0
체크이불,0,0.03636363636363637,3886076,218.0,4.24,3,0,2,0,0,104,64,30,19,0.14800687,0.29898626,0.0,0.0,0.1994694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35945678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0775375,5.996452,7.389564,0.0,1.3456998e-10,1.0,0.0
체크이불,0,0.034782608695652174,4697,108.67,1.25,3,0,3,0,0,104,64,30,19,0.2606143,0.2899707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,6.2106,0.0,1.176094e-39,0.0,0.0
체크이불,1,0.06666666666666667,10110643,98.67,12.17,14,1,10,1,0,104,64,30,19,0.22699125,0.42303687,0.0,0.0,0.0966053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7406598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917595,0.0,0.0,0.0,2.7759834e-05,1.0,0.0
체크이불,0,0.03636363636363637,2220562,139.67,1.89,3,0,2,0,0,104,64,30,19,0.19151002,0.39350337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56842685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,1.0986123,5.030438,0.0,2.1501848e-12,1.0,0.0
체크이불,0,0.027586206896551724,12591891,10.47,33.85,19,0,9,0,0,104,64,30,19,0.2606143,0.40905824,0.0,0.0,0.10737091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101,1.0986123,4.276666,0.0,0.0026618438,1.0,0.0
체크이불,0,0.027777777777777776,10521034,28.62,1.18,26,0,16,0,0,104,64,30,19,0.2679059,0.42184496,0.0,0.0,0.17136085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16269007,0.6161897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415,0.0,0.0,0.0,6.1921826e-05,1.0,0.0
체크이불,0,0.027777777777777776,9461364,32.62,2.51,26,0,16,0,0,104,64,30,19,0.34834415,0.27463335,0.0,0.0,0.1552186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13797662,0.398526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,8.2618735e-06,1.0,0.0
체크이불,0,0.02857142857142857,14200243,120.5,14.04,10,0,8,0,0,104,64,30,19,0.35521495,0.0,0.0,0.0,0.15443453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,4.394449,0.0,0.031790204,1.0,1.0
체크이불,0,0.03333333333333333,14364851,98.62,11.8,13,0,10,0,0,104,64,30,19,0.0,0.3325931,0.0,0.0,0.2745189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35945678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.6931472,4.553877,0.0,0.039775334,1.0,0.0
체크이불,0,0.030303030303030304,11514650,49.05,9.88,22,0,13,0,0,104,64,30,19,0.0,0.3972041,0.0,0.0,0.23860872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56842685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,2.3978953,3.6109178,7.6118426,0.0,0.00036569536,1.0,0.0
체크이불,0,0.03636363636363637,11483896,149.0,1.73,4,0,2,0,0,104,64,30,19,0.29316348,0.15288146,0.0,0.0,0.12315403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415,1.0986123,0.0,0.0,0.0003455695,1.0,0.0
체크이불,0,0.03333333333333333,14997617,137.2,1.6,5,0,4,0,0,104,64,30,19,0.3772661,0.20114915,0.0,0.0,0.24948731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13743404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.103763945,1.0,0.0
체크이불,0,0.043478260869565216,12414182,4.47,1.13,46,1,26,1,0,104,64,30,19,0.5678252,0.0,0.0,0.0,0.2745189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8990722,0.0,0.0,0.0,0.19024041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7300997,0.0,0.0018796618,1.0,0.0
체크이불,0,0.02962962962962963,3763370,76.08,75.57,12,0,7,0,0,104,64,30,19,0.18400383,0.3299808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,0.0,3.7376697,5.3612924,8.775086,0.0,1.0078358e-10,1.0,0.0
체크이불,0,0.05555555555555555,7794610,26.52,6.24,26,1,16,1,0,104,64,30,19,0.29711756,0.36056328,0.0,0.0,0.1239458,0.0,0.0,0.0,0.0,0.0,0.0,0.35973147,0.0,0.18475102,0.5092199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35973147,0.0,0.0,1.7917595,0.0,0.0,0.0,4.001569e-07,1.0,0.0
